epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4156,1.94005,4.29444,0.00848,0.67094,0.59609,0.6187,0.27432,2.04446,1.76998,0.01261,0.000552711,0.000552711,0.000552711
2,79.4713,1.94013,1.62126,0.00882,0.64349,0.6537,0.66132,0.29132,2.00428,1.50265,0.01192,0.0010718,0.0010718,0.0010718
3,117.599,1.90446,1.50542,0.00857,0.62915,0.6905,0.67853,0.29972,1.97621,1.42787,0.01167,0.00155422,0.00155422,0.00155422
4,155.647,1.90311,1.46367,0.0086,0.67136,0.58905,0.66204,0.30001,1.92723,1.42023,0.01141,0.00150197,0.00150197,0.00150197
5,193.796,1.87031,1.41035,0.00834,0.65148,0.65256,0.68656,0.32228,1.8971,1.43302,0.01122,0.00144696,0.00144696,0.00144696
6,231.731,1.85979,1.38087,0.00827,0.69568,0.71527,0.7364,0.34714,1.93221,1.28356,0.01132,0.00139195,0.00139195,0.00139195
7,269.837,1.82648,1.34102,0.00809,0.70821,0.68901,0.74091,0.33952,1.97705,1.27128,0.01159,0.00133693,0.00133693,0.00133693
8,307.845,1.81398,1.35635,0.00805,0.69629,0.67729,0.73202,0.34737,1.85507,1.32014,0.01095,0.00128192,0.00128192,0.00128192
9,346.088,1.81425,1.29899,0.008,0.70197,0.67809,0.72677,0.34751,1.9136,1.26326,0.01142,0.00122691,0.00122691,0.00122691
10,384.231,1.81348,1.3094,0.00807,0.68847,0.67581,0.72692,0.34356,1.88477,1.2778,0.01103,0.0011719,0.0011719,0.0011719
11,422.393,1.79649,1.28262,0.00791,0.70507,0.71434,0.74509,0.36432,1.88799,1.23741,0.01103,0.00111689,0.00111689,0.00111689
12,460.573,1.78445,1.24366,0.00805,0.72117,0.69326,0.74227,0.35442,1.87989,1.22851,0.01099,0.00106188,0.00106188,0.00106188
13,498.75,1.79417,1.25107,0.00783,0.69961,0.69934,0.73527,0.34172,1.90357,1.25095,0.01107,0.00100687,0.00100687,0.00100687
14,536.907,1.77506,1.21497,0.00781,0.72256,0.70927,0.76034,0.36829,1.88149,1.19304,0.01111,0.000951857,0.000951857,0.000951857
15,574.916,1.76421,1.22579,0.00782,0.711,0.71295,0.73011,0.34635,1.89084,1.22551,0.01113,0.000896846,0.000896846,0.000896846
16,612.932,1.74877,1.1838,0.0076,0.712,0.66278,0.73707,0.36302,1.87454,1.23803,0.01093,0.000841835,0.000841835,0.000841835
17,650.862,1.73042,1.20096,0.00761,0.70524,0.68451,0.73829,0.35639,1.86474,1.26702,0.01095,0.000786824,0.000786824,0.000786824
18,688.905,1.73268,1.17418,0.0076,0.72256,0.67395,0.71976,0.34206,1.86811,1.25151,0.01104,0.000731813,0.000731813,0.000731813
19,726.919,1.71852,1.1393,0.00756,0.7016,0.72879,0.74653,0.3499,1.905,1.1974,0.01117,0.000676802,0.000676802,0.000676802
20,764.758,1.69659,1.15769,0.00735,0.71179,0.71422,0.74353,0.35874,1.86624,1.20161,0.01092,0.000621791,0.000621791,0.000621791
21,807.432,1.71183,1.06475,0.00892,0.6861,0.72846,0.73716,0.35731,1.88127,1.2094,0.01107,0.00056678,0.00056678,0.00056678
22,843.079,1.71801,1.02827,0.00895,0.68707,0.70294,0.74942,0.36429,1.87015,1.24447,0.01082,0.000511769,0.000511769,0.000511769
