epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4155,1.88252,3.31473,0.00813,0.70207,0.60466,0.67547,0.26537,1.92495,1.99322,0.01173,0.000663121,0.000663121,0.000663121
2,76.5997,1.86787,1.69519,0.00837,0.71494,0.61049,0.69416,0.28689,1.93065,1.59565,0.01148,0.0012859,0.0012859,0.0012859
3,114.624,1.85976,1.57142,0.00832,0.7658,0.66243,0.74844,0.30813,1.88854,1.52952,0.01106,0.00186469,0.00186469,0.00186469
4,152.661,1.86363,1.51525,0.00837,0.78737,0.65739,0.76527,0.33869,1.92713,1.44727,0.01154,0.001802,0.001802,0.001802
5,190.467,1.83058,1.42786,0.00814,0.72697,0.65766,0.74291,0.32927,1.94844,1.4386,0.01185,0.001736,0.001736,0.001736
6,228.555,1.83617,1.40255,0.00813,0.74059,0.67144,0.74832,0.32172,1.91017,1.47384,0.01123,0.00167,0.00167,0.00167
7,266.521,1.80031,1.38602,0.00798,0.7645,0.69501,0.77278,0.3383,1.92315,1.42462,0.01129,0.001604,0.001604,0.001604
8,304.344,1.812,1.35312,0.00803,0.75955,0.64918,0.74751,0.33745,1.90059,1.39595,0.01146,0.001538,0.001538,0.001538
9,342.283,1.79059,1.33144,0.00792,0.79413,0.67144,0.76768,0.34811,1.88944,1.29565,0.01114,0.001472,0.001472,0.001472
10,380.387,1.7774,1.30611,0.00787,0.79505,0.69263,0.78535,0.35302,1.85315,1.2693,0.0109,0.001406,0.001406,0.001406
11,418.52,1.77535,1.2833,0.0078,0.79765,0.69774,0.79361,0.3613,1.84785,1.19809,0.01077,0.00134,0.00134,0.00134
12,456.714,1.75875,1.26093,0.00794,0.78565,0.71754,0.79297,0.35976,1.86367,1.25141,0.01101,0.001274,0.001274,0.001274
13,494.844,1.76658,1.27986,0.0077,0.7601,0.70856,0.77935,0.35196,1.85705,1.28518,0.01087,0.001208,0.001208,0.001208
14,532.994,1.73979,1.22528,0.00764,0.81082,0.7239,0.81103,0.36612,1.86916,1.19608,0.01089,0.001142,0.001142,0.001142
15,570.984,1.74288,1.23829,0.0077,0.8126,0.70588,0.79723,0.36969,1.8244,1.21711,0.01065,0.001076,0.001076,0.001076
16,609.225,1.7424,1.18553,0.00758,0.78919,0.71024,0.79595,0.36448,1.86461,1.22194,0.01092,0.00101,0.00101,0.00101
17,647.44,1.73837,1.21825,0.00767,0.78044,0.72019,0.78307,0.35754,1.85806,1.25309,0.01102,0.000944,0.000944,0.000944
18,685.666,1.74316,1.22512,0.00768,0.79017,0.72072,0.79525,0.35972,1.88209,1.22627,0.0111,0.000878,0.000878,0.000878
19,723.819,1.72089,1.16564,0.00758,0.80629,0.72708,0.79874,0.36929,1.87267,1.15378,0.0109,0.000812,0.000812,0.000812
20,761.998,1.70644,1.1491,0.00742,0.78692,0.73503,0.79913,0.36481,1.84696,1.19384,0.01086,0.000746,0.000746,0.000746
21,805.996,1.72781,1.09184,0.00907,0.80177,0.73132,0.80018,0.36482,1.86724,1.1822,0.01096,0.00068,0.00068,0.00068
22,842.217,1.71771,1.05639,0.00899,0.8079,0.72973,0.80097,0.36736,1.8543,1.21735,0.01078,0.000614,0.000614,0.000614
23,878.388,1.70541,1.05583,0.0089,0.81023,0.72856,0.81296,0.37732,1.84768,1.16404,0.01069,0.000548,0.000548,0.000548
24,914.636,1.68718,1.04134,0.00873,0.81892,0.71807,0.79877,0.37461,1.83186,1.18765,0.01069,0.000482,0.000482,0.000482
25,950.573,1.6725,1.02253,0.00872,0.80504,0.71557,0.802,0.3717,1.87138,1.16612,0.01095,0.000416,0.000416,0.000416
26,986.472,1.67567,1.00061,0.00861,0.82011,0.71277,0.79545,0.37217,1.86317,1.18835,0.01104,0.00035,0.00035,0.00035
27,1022.68,1.67288,0.97097,0.00865,0.80849,0.73156,0.79714,0.37016,1.84774,1.18013,0.01085,0.000284,0.000284,0.000284
28,1058.81,1.66037,0.96438,0.00871,0.81624,0.73915,0.80528,0.37594,1.86836,1.14213,0.01092,0.000218,0.000218,0.000218
29,1094.64,1.64113,0.95894,0.00854,0.80924,0.74245,0.8046,0.37513,1.85126,1.15556,0.01075,0.000152,0.000152,0.000152
30,1130.66,1.64009,0.94308,0.00836,0.81588,0.74033,0.80842,0.37522,1.87096,1.14905,0.01093,8.6e-05,8.6e-05,8.6e-05
