epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2668,1.97153,11.0208,0.01234,0.61444,0.15811,0.07459,0.01689,2.42084,6.53235,0.02177,0.000413557,0.000413557,0.000413557
2,57.5352,1.98032,3.0392,0.01174,0.39534,0.35483,0.30328,0.09131,2.14369,3.29769,0.02086,0.000802826,0.000802826,0.000802826
3,85.5471,1.98812,2.57387,0.01208,0.41147,0.38289,0.36319,0.11856,1.94898,2.77337,0.01798,0.0011646,0.0011646,0.0011646
4,113.28,1.99387,2.40773,0.01231,0.42424,0.39178,0.35268,0.12735,2.06587,2.38731,0.01951,0.00112625,0.00112625,0.00112625
5,141.101,2.01026,2.27596,0.01238,0.46061,0.48795,0.42331,0.14063,2.14526,2.23895,0.02035,0.001085,0.001085,0.001085
6,169.116,1.99937,2.13462,0.01222,0.4213,0.45938,0.41944,0.15308,1.98425,2.20353,0.01843,0.00104375,0.00104375,0.00104375
7,196.999,2.00865,2.03942,0.01239,0.5394,0.47277,0.46644,0.16594,2.08738,2.06256,0.01973,0.0010025,0.0010025,0.0010025
8,224.927,1.98776,1.96978,0.01229,0.55067,0.46865,0.48702,0.17172,2.0988,1.95523,0.02016,0.00096125,0.00096125,0.00096125
9,252.711,1.96973,1.93931,0.0122,0.56782,0.53362,0.52979,0.18721,2.08764,1.76032,0.01949,0.00092,0.00092,0.00092
10,280.476,1.99245,1.84669,0.01228,0.56937,0.5316,0.53862,0.1978,2.13336,1.76388,0.02015,0.00087875,0.00087875,0.00087875
11,308.372,1.95828,1.82458,0.01206,0.59436,0.5012,0.51793,0.18489,2.15396,1.8437,0.02098,0.0008375,0.0008375,0.0008375
12,336.24,1.93763,1.78414,0.01199,0.51189,0.50828,0.46992,0.15926,2.15998,1.89252,0.01995,0.00079625,0.00079625,0.00079625
13,363.931,1.93597,1.74137,0.01183,0.55576,0.55553,0.53238,0.18237,2.1429,1.74983,0.01981,0.000755,0.000755,0.000755
14,391.595,1.92061,1.75093,0.01193,0.52956,0.52585,0.49371,0.1755,2.12948,1.7686,0.02007,0.00071375,0.00071375,0.00071375
15,419.307,1.94192,1.65932,0.01186,0.59451,0.53868,0.54281,0.19128,2.16662,1.65788,0.02008,0.0006725,0.0006725,0.0006725
16,446.902,1.91318,1.58498,0.01171,0.56122,0.56176,0.51957,0.18419,2.18495,1.68775,0.02044,0.00063125,0.00063125,0.00063125
17,474.522,1.90702,1.55636,0.01178,0.68454,0.57584,0.5976,0.21621,2.11221,1.55714,0.01986,0.00059,0.00059,0.00059
18,508.379,1.89503,1.48011,0.01179,0.6569,0.55514,0.57695,0.20918,2.14378,1.59265,0.01991,0.00054875,0.00054875,0.00054875
19,536.379,1.88911,1.48851,0.01157,0.5546,0.5704,0.54447,0.18845,2.17698,1.61062,0.02005,0.0005075,0.0005075,0.0005075
20,568.358,1.86425,1.43645,0.01131,0.59077,0.56965,0.55076,0.20111,2.13702,1.63405,0.01993,0.00046625,0.00046625,0.00046625
21,601.763,1.95258,1.26941,0.01434,0.61509,0.54302,0.5674,0.19846,2.15294,1.57574,0.01995,0.000425,0.000425,0.000425
22,631.389,1.903,1.17704,0.01399,0.59007,0.53554,0.5318,0.19174,2.17738,1.60252,0.02035,0.00038375,0.00038375,0.00038375
23,664.225,1.87737,1.16078,0.01383,0.5754,0.56681,0.5302,0.19229,2.14096,1.65993,0.01996,0.0003425,0.0003425,0.0003425
24,697.461,1.84894,1.09321,0.01349,0.59669,0.58451,0.56019,0.20116,2.16822,1.55798,0.02029,0.00030125,0.00030125,0.00030125
25,731.55,1.83624,1.0025,0.01347,0.5929,0.56198,0.54652,0.19839,2.16289,1.65483,0.02013,0.00026,0.00026,0.00026
