epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
2,799,,,,,,,,,,,,,,,,,,,,,,,9.984925418393686e-05,9.984925418393686e-05,3.2276911952067167e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,849,,,,,,,,,,,,,,,,,,,,,,,9.981586481444538e-05,9.981586481444538e-05,3.226612079743063e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,899,,,,,,,,,,,,,,,,,,,,,,,9.977915033232421e-05,9.977915033232421e-05,3.2254251891572494e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,949,,,,,,,,,,,,,,,,,,,,,,,9.973911073757336e-05,9.973911073757336e-05,3.224130750822951e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,971,,,,,,,,,,,,,,,,,,,,,,,,,,0.33740827441215515,0.1861773580312729,0.22451217472553253,0.13656063377857208,0.5470783114433289,296.695556640625,296.69183349609375,296.6435546875,296.6856384277344,296.695556640625,32.6191520690918,0.5561053156852722,0.23810718953609467,0.5303647518157959,9.10363483428955,0.054865941405296326,0.057507697492837906,0.05709417909383774,0.05675993859767914,0.059690892696380615,0.889451801776886,0.8838884830474854,0.8759124279022217,0.8785071969032288,0.8780959248542786,0.32117506861686707,0.3257044553756714,0.32621660828590393,0.3264334797859192,0.33456289768218994,0.5309494733810425,0.22116461396217346,0.13162703812122345,0.516143262386322,0.503426730632782,0.6169751882553101
2,971,3896.5400390625,3895.871826171875,3895.2421875,3896.030029296875,3896.532470703125,30.543020248413086,8.818968772888184,0.05120101571083069,0.05306190252304077,0.05258411914110184,0.051789313554763794,0.0561840683221817,0.8866698741912842,0.8936968445777893,0.8810926079750061,0.883834719657898,0.888678252696991,0.29926809668540955,0.3054763078689575,0.3046778440475464,0.3014753460884094,0.3195509612560272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,999,,,,,,,,,,,,,,,,,,,,,,,9.969573875423521e-05,9.969573875423521e-05,3.222728764740168e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1049,,,,,,,,,,,,,,,,,,,,,,,9.964904893422499e-05,9.964904893422499e-05,3.221219458282576e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1099,,,,,,,,,,,,,,,,,,,,,,,9.959904127754271e-05,9.959904127754271e-05,3.21960305882385e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1149,,,,,,,,,,,,,,,,,,,,,,,9.954572306014597e-05,9.954572306014597e-05,3.217879338990315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1199,,,,,,,,,,,,,,,,,,,,,,,9.948908700607717e-05,9.948908700607717e-05,3.216048526155646e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1249,,,,,,,,,,,,,,,,,,,,,,,9.942914039129391e-05,9.942914039129391e-05,3.2141108476935187e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
