/workspace/project-expertise/pipeline-pertandan/scripts/reid_pertandan.py:202: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  tot += float(L); nb += 1
membangun potongan 128x128 (sekali, lalu di-cache)...
  18540 potongan
fold 0/2: melatih di 358 pohon (menahan 358)
  epoch 1/30  loss 4.9631  (6s)
  epoch 2/30  loss 3.8987  (11s)
  epoch 3/30  loss 3.1681  (16s)
  epoch 4/30  loss 2.5829  (20s)
  epoch 5/30  loss 2.1978  (25s)
  epoch 6/30  loss 1.7712  (30s)
  epoch 7/30  loss 1.4277  (34s)
  epoch 8/30  loss 1.1264  (39s)
  epoch 9/30  loss 1.0176  (44s)
  epoch 10/30  loss 0.7856  (48s)
  epoch 11/30  loss 0.6633  (53s)
  epoch 12/30  loss 0.5830  (58s)
  epoch 13/30  loss 0.4815  (62s)
  epoch 14/30  loss 0.4518  (67s)
  epoch 15/30  loss 0.4117  (72s)
  epoch 16/30  loss 0.3975  (76s)
  epoch 17/30  loss 0.3651  (81s)
  epoch 18/30  loss 0.3534  (86s)
  epoch 19/30  loss 0.3428  (90s)
  epoch 20/30  loss 0.3418  (95s)
  epoch 21/30  loss 0.3259  (99s)
  epoch 22/30  loss 0.3190  (104s)
  epoch 23/30  loss 0.3165  (109s)
  epoch 24/30  loss 0.3217  (113s)
  epoch 25/30  loss 0.3112  (118s)
  epoch 26/30  loss 0.3028  (122s)
  epoch 27/30  loss 0.3035  (127s)
  epoch 28/30  loss 0.3067  (132s)
  epoch 29/30  loss 0.3016  (136s)
  epoch 30/30  loss 0.3010  (141s)
-> /workspace/project-expertise/pipeline-pertandan/runs/reid_resnet18_f0/best.pt  &  reid_embedding_f0.npz
