epoch,loss,val_view_acc,val_view_macro_f1,val_bunch_acc,val_bunch_macro_f1,objective,skala_c1,detik
1,0.6121658222830814,0.7040409789413773,0.6792571311685677,0.7410228509249184,0.731129373879504,0.7365707862544819,0.9615988731384277,94.14519667625427
2,0.5446136802578894,0.7051792828685259,0.6848524837161896,0.749727965179543,0.7362026047493965,0.743641552985977,0.9548599123954773,133.03789520263672
3,0.4582760501742939,0.7023335230506546,0.6877504310586362,0.7486398258977149,0.736547714856797,0.7431983759293019,0.9529458284378052,165.81319403648376
4,0.3694488580388147,0.7057484348321001,0.6866236336565628,0.7551686615886833,0.7336730211780453,0.7454956234038963,0.9532554149627686,197.22071623802185
5,0.2971085739020564,0.7034718269778031,0.6839524048316848,0.7464635473340587,0.7349311908706209,0.7412739869255117,0.9474174976348877,228.51818346977234
6,0.26147732739719215,0.7063175867956745,0.6862142846241635,0.750816104461371,0.7370698976258676,0.7446303113853945,0.9364209175109863,259.93942284584045
7,0.23274017857828577,0.7017643710870802,0.6848791730302585,0.7529923830250272,0.7427251372881829,0.7483721224434473,0.9271801710128784,290.8042321205139
8,0.20448971007037278,0.7051792828685259,0.6878571240624328,0.750816104461371,0.7357024535360017,0.7440149615449548,0.9124550223350525,324.58331179618835
9,0.19735919281048475,0.7063175867956745,0.6872460464524973,0.7453754080522307,0.732135809454409,0.739417588683211,0.8989346623420715,355.61403799057007
10,0.17348832028787492,0.7046101309049516,0.6874341755952948,0.7529923830250272,0.7314245051997845,0.7432868380036681,0.8813029527664185,386.63621973991394
11,0.1687394556575927,0.701195219123506,0.6857504241879548,0.7529923830250272,0.738648451197454,0.7465376137026194,0.8696720004081726,417.71653938293457
12,0.15861740562578905,0.7034718269778031,0.6861917340894811,0.7453754080522307,0.7303767518786042,0.7386260127740987,0.8528919219970703,448.0957775115967
13,0.15211083525836755,0.7040409789413773,0.6888323850155452,0.750816104461371,0.7320891815063746,0.7423889891316227,0.839555561542511,478.9459385871887
14,0.1498814395264439,0.7029026750142288,0.6859330840874492,0.7475516866158868,0.7321818046809037,0.7406352397451443,0.8269177079200745,510.12596368789673
15,0.14451736838057422,0.6994877632327832,0.6831513918667544,0.750816104461371,0.7343920248587527,0.7434252686401928,0.8095927834510803,543.1190383434296
16,0.13806870410551772,0.701195219123506,0.6841641014693252,0.7486398258977149,0.734561819585579,0.7423047230572537,0.7982946634292603,572.4454188346863
17,0.13412309824916477,0.7063175867956745,0.6799943367956955,0.750816104461371,0.7362217628200762,0.7442486507227883,0.7857152819633484,601.54567527771
