epoch,loss,val_view_acc,val_view_macro_f1,val_bunch_acc,val_bunch_macro_f1,objective,skala_c1,detik
1,0.6124934476354847,0.7046101309049516,0.6849587780135448,0.7453754080522307,0.7303918348743815,0.7386328001221986,0.9619183540344238,52.09645700454712
2,0.5414976453867512,0.7057484348321001,0.6811674332908146,0.7475516866158868,0.7306779643236436,0.7399585115843774,0.9531202912330627,81.20659446716309
3,0.4533912188189041,0.6983494593056346,0.6838748482389129,0.7421109902067464,0.7305741521203681,0.7369194130678762,0.9527634382247925,110.01622009277344
4,0.36955378467334066,0.6960728514513375,0.6875327393306845,0.750816104461371,0.7358001651145435,0.7440589317552986,0.9531409740447998,147.66882014274597
5,0.30134228462182383,0.6977803073420603,0.6842749962410674,0.7464635473340587,0.7324996467963081,0.740179792092071,0.9497994780540466,196.30307531356812
6,0.2611832097172737,0.7029026750142288,0.6889106665353828,0.750816104461371,0.7347581480921204,0.7435900240952082,0.9383139610290527,242.98192620277405
7,0.230886188502185,0.7000569151963574,0.6846095051839529,0.7519042437431991,0.7312269500495298,0.7425994615810478,0.9258636236190796,270.8430619239807
8,0.2073494636674146,0.7000569151963574,0.6798896724719609,0.7486398258977149,0.7317341458175891,0.7410322698616583,0.9115698933601379,299.1426558494568
9,0.18577949911499944,0.701195219123506,0.6846862889796976,0.749727965179543,0.727940589290858,0.7399236460296348,0.8943012356758118,326.917356967926
10,0.1756825913913584,0.7000569151963574,0.6798896724719609,0.7442872687704026,0.7282037514045376,0.7370496859557634,0.8802485466003418,354.6638197898865
11,0.164162360743624,0.6994877632327832,0.6832584225416256,0.7453754080522307,0.7320520886539028,0.7393799143229831,0.8646055459976196,382.3381872177124
12,0.1542940728618327,0.7046101309049516,0.6797145626492118,0.7475516866158868,0.7313255651797184,0.740249931969611,0.8483834266662598,409.9379894733429
13,0.1514226465805429,0.7017643710870802,0.6836388087924598,0.7486398258977149,0.734085462435231,0.7420903623395971,0.8334232568740845,437.7511885166168
14,0.1482015310422234,0.7006260671599317,0.6870290272465254,0.7486398258977149,0.7313965550815154,0.7408803540304252,0.817695677280426,467.94065594673157
