epoch,loss,val_acc,val_macro_f1,objective,skala_base,detik
1,0.32474164041605863,0.7519042437431991,0.7378583891716133,0.7455836091859855,1.0094361305236816,3.5322465896606445
2,0.22515645514835012,0.7540805223068553,0.7412220502235982,0.7482942098693897,1.0018210411071777,5.9470744132995605
3,0.202611151879484,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9900416135787964,8.422853469848633
4,0.1911671375686472,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9761130213737488,10.833245515823364
5,0.1794335660609332,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9620246887207031,13.233654022216797
6,0.1662597108970989,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9500818252563477,15.774705410003662
7,0.16660887734456495,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9370805025100708,18.12913179397583
8,0.15956547206098384,0.7529923830250272,0.7378770874616405,0.7461905000215032,0.9248378276824951,20.53029155731201
9,0.15732450674880635,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9129980802536011,22.927363872528076
10,0.14692626080729745,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.9018619060516357,25.33718705177307
11,0.1428557493469932,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.8914075493812561,27.758824586868286
12,0.1401841034943407,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.8816439509391785,30.14264965057373
13,0.140417688136751,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.8724987506866455,32.590951442718506
14,0.13935636214234612,0.7519042437431991,0.7378583891716133,0.7455836091859855,0.8644112348556519,34.64286398887634
